Lang,langs
2014-03-14 04:56:56 +0000
id,name,created_at_mill,updated_at_mill,created_at,updated_at
1,Chinese,1367208921280,1367208921280,2013-04-29 04:15:21 UTC,2013-04-29 04:15:21 UTC
2,German,1367211970128,1367211970128,2013-04-29 05:06:10 UTC,2013-04-29 05:06:10 UTC
3,French,1367212003770,1367212003770,2013-04-29 05:06:43 UTC,2013-04-29 05:06:43 UTC
4,English,1367212070417,1367212070417,2013-04-29 05:07:50 UTC,2013-04-29 05:07:50 UTC
5,Ancient Greek,1367920740025,1367920740025,2013-05-07 09:59:00 UTC,2013-05-07 09:59:00 UTC
6,Ancient Hebrew,1367922658526,1367922658526,2013-05-07 10:30:58 UTC,2013-05-07 10:30:58 UTC
7,Korean,1367942988837,1367942988837,2013-05-07 16:09:48 UTC,2013-05-07 16:09:48 UTC
8,Polski,1370513273186,1370513273186,2013-06-06 10:07:53 UTC,2013-06-06 10:07:53 UTC
9,Japanese,1375401267224,1375401267224,2013-08-01 23:54:27 UTC,2013-08-01 23:54:27 UTC
10,Russian,1383878032536,1383878032536,2013-11-08 02:33:52 UTC,2013-11-08 02:33:52 UTC
